Blog	close	ever	blog	without	list	part	nbsp	want	things	got	job	or	lot	words	before	only	has	original	face	i	including	couple	well	asked	was	name	take	book	week	each	top	around	be	u	special	any	off	stuff	content	times	else	deal	so	june	problem	point	ways	amazon	would	example	number	page	can	place	clear	looks	end	car	friends	started	if	create	use	does	gets	real	help	free	idea	may	social	her	told	ve	great	side	action	bad	while	going	available	much	than	were	show	sure	could	year	four	live	saying	probably	most	water	long	another	media	check	maybe	back	p	almost	kind	during	said	latest	possible	look	they	who	youtube	security	turn	over	building	big	when	least	but	google	took	case	go	behind	even	way	thing	used	other	been	keep	summer	month	two	especially	down	here	make	think	good	really	support	email	music	piece	night	put	system	ideas	its	gave	ceo	process	something	change	thought	anything	hours	just	buy	where	six	next	say	means	person	then	c	went	line	service	seen	should	my	last	later	across	him	by	design	find	business	being	once	reason	director	read	videos	thousands	health	enough	co	play	view	money	had	pretty	everyone	days	always	fact	since	internet	them	b	re	office	interesting	too	open	into	company	about	event	more	less	will	their	m	left	web	family	seems	light	government	our	three	thursday	best	set	site	state	own	morning	don	doesn	needs	website	president	isn	me	work	better	voice	post	made	takes	today	under	movie	new	feel	few	account	come	because	right	major	different	looking	community	everything	same	trump	she	how	we	self	some	one	actually	far	tell	comes	local	not	driving	man	stories	care	game	us	store	whether	know	issue	project	twitter	both	american	doing	all	entire	data	recently	world	photo	goes	first	donald	talk	many	might	people	features	app	facebook	easy	no	out	full	story	there	also	according	together	between	through	try	which	ago	half	having	why	very	recent	based	small	appeared	called	shows	bit	nothing	away	run	old	following	making	team	found	makes	every	someone	public	such	are	though	love	up	getting	working	get	start	power	like	your	market	com	future	wrote	ll	d	those	his	trying	video	won	never	writing	version	finally	using	he	reading	tv	do	years	months	did	believe	these	ask	air	second	home	already	says	group	see	pay	after	white	giving	past	house	hard	against	let	question	million	yet	watch	news	often	came	didn	running	become	important	have	tech	am	sense	an	life	little	again	now	what	day	e	until	stop	call	high	technology	need	give	still	john	time
TechCrunch	0	0	0	0	0	0	19	3	0	0	0	3	0	0	1	0	13	0	3	1	0	2	0	0	2	1	0	0	1	0	0	1	5	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	4	0	0	1	0	2	1	0	3	1	0	0	0	3	2	2	0	1	0	0	0	0	1	0	0	0	1	2	1	2	3	1	2	0	1	7	0	2	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	3	2	5	2	0	1	1	2	1	1	6	0	0	0	0	0	0	0	1	0	2	9	0	0	1	1	0	1	0	4	0	0	1	1	1	3	1	0	0	2	0	12	0	0	0	0	1	0	0	1	3	0	1	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	6	0	0	0	5	0	1	0	20	0	0	0	0	0	0	0	1	0	0	0	3	1	0	1	0	1	1	0	1	0	0	1	1	8	3	2	26	0	1	5	1	1	0	2	0	0	1	1	2	1	0	0	0	0	2	0	0	2	0	1	0	1	0	0	0	0	0	0	1	2	1	0	12	0	2	0	0	1	1	0	0	2	2	0	0	1	0	3	1	0	8	5	1	0	0	0	1	3	2	0	1	0	0	0	1	1	1	1	0	0	0	1	1	3	2	2	0	1	0	0	0	0	0	0	2	0	0	3	4	1	0	4	1	0	2	0	1	0	0	1	0	3	1	2	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	6	0	0	2	1	1	1	1	0	5	1	3	0	5	0	0	0	2	0	2	4	0	0	0	3	0	0	0	0	1	1	2	1	0	1	1	0	0	1	1	0	2	2	0	0	2	3	0	0	3	1	0	1	0	2	1	1	2	0	0	0	0	0	0	3	3	0	0	4	0	0	0	4	2	1	1	0	0	0	0	3	0	3	1	0	2
plasticbag.org	0	1	2	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	16	0	1	0	0	3	0	2	0	0	0	0	0	5	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	1	5	0	1	0	0	0	0	3	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	1	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	3	3	0	0	0	1	3	1	0	2	0	0	0	6	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	3	0	2	2	0	1	0	1	2	4	0	10	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	4	1	6	2	1	1	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	1	0	0	1	6	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	1	0	1	2	0	0	0	0	2	1	3	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	1	1	5	0	0	2	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	3	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3
Schneier on Security	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	1	2	0	0	4	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	0	0	1	3	0	0	1	1	0	0	0	6	2	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	5	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	2	0	0	0	0	0	1	0	0	1	0	1	0	1	2	1	0	0	2	3	2	0	0	2	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Engadget RSS Feed	0	0	0	0	1	0	0	2	1	1	0	3	1	2	1	2	8	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	5	0	0	0	2	0	0	0	1	0	2	1	0	0	0	2	2	0	0	0	4	0	0	1	0	1	1	0	7	1	1	0	0	0	2	1	0	3	0	1	0	1	0	0	0	1	0	0	4	2	0	0	3	1	2	3	0	1	0	1	0	0	0	1	1	0	0	2	0	0	0	2	1	0	0	2	6	2	4	0	1	1	0	2	6	0	6	2	0	2	1	0	0	0	0	0	0	2	0	2	2	0	1	2	0	2	1	2	2	1	0	2	0	0	0	1	0	8	0	1	1	1	1	0	1	1	3	1	0	0	3	1	0	0	2	2	0	0	4	0	0	0	2	0	0	0	2	0	3	3	1	0	0	0	1	3	0	0	1	0	0	0	0	0	1	2	1	0	0	0	3	1	0	3	0	0	1	3	1	1	1	1	3	0	7	7	0	0	0	0	0	0	3	2	0	0	2	0	0	0	1	0	2	0	0	2	2	1	0	1	0	2	1	2	0	6	0	0	9	0	1	0	1	1	0	0	0	0	1	1	0	2	0	2	3	2	0	4	0	0	0	0	2	2	1	0	0	0	0	4	0	0	2	2	1	0	0	1	0	1	0	3	0	1	0	0	4	0	0	1	1	1	2	1	0	1	0	3	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	1	0	4	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	2	1	2	2	1	1	3	0	0	1	6	2	0	0	0	0	0	1	1	2	1	0	2	0	0	0	1	1	0	4	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	2	1	0	0	1	0	0	1	0	0	0	0	2	0	2	3	0	0	7	0	0	0	5	2	1	0	0	0	0	0	2	3	0	0	0	0
MetaFilter	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	4	0	0	10	0	0	0	1	3	0	0	1	0	0	2	0	1	0	0	3	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	2	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	0	1	6	1	0	0	0	1	0	1	5	0	4	2	0	0	1	1	0	2	0	0	2	1	0	2	0	0	0	0	1	0	2	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	1	1	2	2	0	1	0	3	1	1	1	1	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	3	0	2	0	0	1	0	2	0	0	0	2	1	3	2	1	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	0	1	1	2	0	4	2	0	0	2	0	0	0	0	0	0	0	0	0	5	0	3	2	0	5	4	0	0	0	1	0	2	0	1	2	0	0	1	1	0	1	0	1	0	0	3	0	4	0	0	0	5	0	1	4	0	0	0	0	2	0	0	0	0	0	1	3	0	7	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	6	0	1	1	0	0	2	0	0	2	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	2	0	1	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	1	3	0	0	0	2	1	0	0	1	5	1	0	0	0	0	1	1	0	0	0	0	4
SpikedHumor - Today's Videos and Pictures	0	3	0	0	1	7	0	1	1	1	0	3	0	1	2	0	8	0	4	19	0	1	0	0	4	0	1	0	0	0	2	4	1	3	3	2	3	0	0	1	1	3	2	0	3	0	0	0	2	0	0	1	5	0	0	1	3	4	0	1	1	0	0	2	2	4	0	1	0	1	0	0	0	2	1	2	0	0	3	0	0	0	1	0	5	0	1	0	0	2	1	2	2	2	2	3	0	0	2	2	3	0	0	0	3	0	0	5	0	3	5	2	0	0	0	1	4	0	8	1	0	0	2	0	5	2	0	0	2	3	2	0	0	0	0	3	102	2	2	2	1	1	0	2	0	1	3	1	2	7	0	0	0	2	1	0	0	0	12	0	0	0	0	1	1	1	2	0	2	0	0	0	1	8	4	0	1	1	108	0	0	0	1	2	2	0	0	4	0	0	0	0	3	1	1	5	0	2	5	0	1	1	0	3	0	2	0	2	2	0	2	0	9	0	4	0	5	3	1	2	0	2	0	0	3	1	0	1	6	4	1	0	0	1	3	1	0	3	0	0	5	2	0	4	3	0	4	0	1	1	7	3	1	0	0	3	0	2	0	0	0	1	0	0	3	5	9	0	9	6	1	1	1	0	1	8	3	4	1	0	1	2	1	0	4	0	2	0	0	3	0	14	0	0	0	1	0	0	2	0	2	2	2	3	0	3	0	0	1	1	2	0	1	3	1	1	2	0	0	0	2	1	1	4	0	0	0	0	0	1	0	1	0	1	0	2	1	3	1	2	1	3	1	1	1	6	0	1	13	0	0	4	0	0	5	6	0	6	2	0	0	1	2	9	0	15	0	1	0	0	0	4	7	0	2	2	2	0	2	0	1	0	1	6	0	0	1	1	4	0	3	1	1	0	2	0	0	2	0	1	0	102	2	0	0	0	1	0	0	6	0	2	0	11	2	1	1	0	5	1	0	1	0	1	0	0	1	0	2	0	4
Celebslam	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	10	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
Search Engine Roundtable	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	1	1	2	0	0	0	1	0	0	1	0	0	1	0	0	0	4	2	0	0	2	3	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	1	0	0	24	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	2	2	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	2	0	0	0	1	4	2	1	0	0	0	0	0	0	1	0	5	1
Neil Gaiman's Journal	2	10	11	3	2	6	320	15	50	22	2	62	15	10	17	20	20	7	0	439	4	9	12	13	111	4	13	68	7	8	0	7	103	0	2	12	10	5	1	9	2	1	60	1	0	1	2	6	38	1	3	8	48	6	1	6	2	0	8	10	63	1	0	6	4	2	10	4	6	9	3	12	4	31	2	4	1	5	11	27	6	25	12	21	6	11	19	44	8	4	2	8	10	3	11	9	4	0	3	22	4	10	10	4	15	1	2	7	45	51	2	0	4	23	1	6	26	2	50	2	9	4	23	2	30	11	20	3	17	30	7	2	5	24	4	5	41	27	9	24	22	4	3	1	3	10	16	0	4	6	4	0	2	21	5	8	7	10	21	3	22	3	11	2	8	7	28	3	21	3	0	3	12	82	21	6	1	21	71	4	13	0	9	4	1	2	23	1	4	0	2	10	1	8	18	42	4	9	23	6	0	5	5	43	4	12	1	2	19	1	16	1	47	8	35	7	56	19	65	6	0	7	2	4	0	9	8	2	7	10	0	0	8	3	15	2	0	2	0	8	63	24	6	1	7	14	0	5	1	3	41	7	13	0	5	32	10	1	8	2	1	3	9	0	11	21	52	1	37	47	8	2	8	5	0	58	1	11	15	1	0	24	0	2	9	1	1	3	3	29	27	51	2	0	0	17	10	10	24	0	5	16	4	46	2	1	5	1	11	56	1	8	56	11	1	3	7	11	2	35	28	5	5	4	18	2	3	6	1	6	2	19	2	12	2	13	2	7	2	5	4	3	9	7	10	66	5	15	38	10	4	34	2	3	44	22	1	31	0	13	22	22	5	40	6	7	5	11	26	3	3	3	55	16	8	40	22	7	19	3	14	4	2	5	3	2	1	0	19	8	12	2	3	2	3	8	1	8	1	3	6	9	2	2	6	11	6	2	1	71	0	20	1	43	9	9	3	28	36	13	13	6	2	1	4	1	12	7	11	1	36
43 Folders	2	26	5	12	3	17	1	26	55	2	19	105	39	1	13	22	28	2	5	469	8	7	24	1	84	3	10	25	11	13	2	10	96	0	5	38	13	27	1	3	7	2	75	0	15	21	5	1	20	0	9	4	85	7	7	3	7	3	5	2	59	0	11	5	13	19	30	8	6	15	1	17	6	40	14	4	1	6	10	7	5	37	36	16	4	10	24	14	5	8	11	8	41	5	21	10	2	2	14	25	0	13	9	2	14	0	5	5	48	70	0	0	5	29	3	25	30	11	93	2	2	3	21	2	50	36	33	6	22	31	10	1	2	10	8	9	28	45	31	26	77	3	11	0	0	5	3	4	3	9	2	0	2	23	13	10	14	4	70	5	20	4	3	21	11	8	25	0	2	3	3	1	16	188	13	5	0	12	101	10	10	8	17	4	5	0	43	0	2	2	15	0	6	4	5	26	11	8	7	20	9	5	3	22	6	48	0	2	14	4	21	2	105	4	69	16	53	19	47	2	10	4	2	1	0	35	3	0	14	3	2	0	13	7	46	18	4	1	0	0	82	59	27	4	2	28	4	13	20	1	28	7	13	1	5	57	24	4	7	2	0	12	9	0	29	60	67	9	28	47	14	7	17	5	0	120	0	7	2	27	2	21	0	14	40	1	3	4	8	2	16	58	1	3	1	13	2	10	29	1	22	20	16	54	2	8	1	5	37	44	7	6	33	27	0	3	3	7	18	45	3	9	11	32	29	2	2	2	0	3	0	7	7	7	6	10	2	11	2	1	5	12	7	1	6	50	2	15	45	11	7	50	11	7	68	83	1	17	8	2	37	45	27	28	10	14	10	26	4	3	6	8	39	13	4	74	16	4	13	9	24	9	3	8	6	13	13	0	18	3	10	0	3	8	2	16	4	17	3	0	6	6	1	19	1	8	4	12	13	74	0	14	4	45	32	28	10	41	73	16	3	15	11	3	0	3	21	4	20	15	46
Kotaku	0	0	0	0	1	0	0	1	0	3	0	4	0	0	0	1	2	1	0	7	0	1	6	1	2	0	0	1	1	1	1	1	8	0	0	0	2	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	8	0	0	2	1	0	0	1	3	0	0	0	0	0	0	2	0	1	0	1	0	5	1	0	2	0	0	0	1	3	2	0	1	0	1	4	0	4	2	0	1	0	0	2	0	0	0	1	0	1	0	2	1	0	1	4	5	2	0	0	1	0	0	2	2	1	5	0	0	0	2	1	1	0	0	2	2	1	2	1	0	0	0	0	2	1	3	3	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	1	0	1	1	2	3	2	2	1	4	0	1	0	1	0	0	1	26	0	0	0	2	0	2	0	2	1	0	0	2	0	0	1	0	0	0	3	0	1	0	0	2	0	3	2	34	1	4	5	2	0	1	0	0	0	0	3	2	1	4	1	0	0	2	0	1	0	0	1	0	1	2	2	0	0	1	0	0	4	2	0	6	0	0	0	2	0	3	0	0	2	1	1	1	0	0	1	7	0	3	4	0	0	0	0	0	1	0	6	0	0	12	2	1	0	2	0	0	0	0	0	0	7	0	0	0	3	0	1	0	0	0	1	1	0	0	1	0	0	2	1	1	0	1	4	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	2	0	2	0	0	0	0	0	0	0	5	0	0	6	0	1	3	0	5	5	8	0	0	0	0	0	2	1	2	0	6	1	1	0	0	2	0	2	0	1	2	1	0	0	0	2	0	1	0	1	0	4	0	1	0	2	3	0	0	1	1	2	0	0	0	0	1	0	0	0	0	2	1	1	7	1	0	0	7	1	1	0	6	4	0	2	1	1	0	0	0	2	0	2	0	3
Joho the Blog	0	0	10	0	0	0	0	1	3	0	0	0	0	3	0	0	1	0	0	5	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	1	1	0	0	0	0	1	0	3	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	2	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	10	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	10	0	2	0	0	6	0	0	0	0	0	3	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	3	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	2	0	0	0	7	1	0	0	0	4	1	0	0	0	0	0	4	0	0	0	0	0
TMZ.com	0	0	0	0	1	0	0	0	1	3	0	1	0	0	0	0	2	0	2	1	0	1	0	0	8	0	0	0	0	0	1	0	2	0	0	0	3	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	11	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	2	4	2	5	0	0	2	2	0	0	1	1	0	0	2	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	1	0	1	1	0	0	0	0	2	0	0	1	4	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	1	2	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	6	1	1	0	1	3	0	0	0	3	1	0	0	1	0	4	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	3	5	6	3	3	0	1	2	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	6	0	0	0	1	0	1	3	0	0	0	0	2	0	2	0	1	2	6	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	1	0	0	5	0	0	5	0	0	0	1	0	1	0	0	0	0	0	1	0	0	9	0	2	1	0	0	0	0	0	8	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	3	1	5	0	3	0	2	0	0	0	0	1	0	1	1	0	1	1
Joi Ito's Web	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	1	1	0	0	14	0	0	0	0	5	0	0	9	0	1	0	1	2	0	0	0	0	1	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	3	0	0	2	0	0	0	2	0	2	0	0	2	0	0	0	2	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	2	0	0	1	1	0	0	0	1	0	0	5	1	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	2	0	0	0	0	0	3	0	0	0	4	0	3	3	0	1	0	0	4	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	0	1	0
